s,mol/mol,mol/mol,mol/mol,mol/mol
Time,"CO_VolumeFraction00","CO_VolumeFraction01","CO_VolumeFraction02","CO_VolumeFraction03"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1950483E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0234650E+000, 2.7963387E-077, 1.3207663E-072, 3.0042692E-074, 4.6416077E-069
 9.0200350E+000, 4.4325649E-041, 1.6775888E-037, 5.1873556E-039, 4.1021281E-035
 1.2001269E+001, 4.5001924E-020, 3.4821933E-014, 1.6296933E-017, 1.9244199E-014
 1.5000350E+001, 2.4342891E-005, 1.9283552E-005, 2.1228799E-005, 1.1301039E-005
 1.8008811E+001, 4.9862661E-005, 2.5232657E-005, 3.2640011E-005, 3.4973505E-005
 2.1018591E+001, 7.3801523E-005, 4.4673975E-005, 7.6704066E-005, 5.6830811E-005
 2.4011282E+001, 1.0157097E-004, 7.5536875E-005, 1.0251447E-004, 7.7453427E-005
 2.7000219E+001, 1.4481986E-004, 1.4199813E-004, 1.5156150E-004, 1.1172195E-004
 3.0016133E+001, 2.1128569E-004, 1.9181665E-004, 1.9894619E-004, 1.8416297E-004
 3.3018275E+001, 2.6657812E-004, 2.4637633E-004, 2.4080005E-004, 2.2456997E-004
 3.6003403E+001, 3.3071180E-004, 2.8760883E-004, 3.1801741E-004, 2.7511943E-004
 3.9002254E+001, 3.6800532E-004, 3.1851290E-004, 3.5663219E-004, 3.3320762E-004
 4.2015983E+001, 3.8320853E-004, 3.4047919E-004, 3.7035664E-004, 3.4739019E-004
 4.5012166E+001, 4.3396480E-004, 3.6289781E-004, 4.0237044E-004, 3.4923104E-004
 4.8017100E+001, 4.4461150E-004, 4.0458988E-004, 4.5159426E-004, 4.1464064E-004
 5.1008800E+001, 4.1955065E-004, 4.1615385E-004, 4.3110659E-004, 4.2623069E-004
 5.4010560E+001, 4.8218650E-004, 4.2566303E-004, 4.5662797E-004, 4.2341700E-004
 5.7012157E+001, 4.9167883E-004, 4.5895554E-004, 4.8963065E-004, 4.7159643E-004
 6.0006887E+001, 5.7436720E-004, 5.1894658E-004, 5.5377761E-004, 5.2374076E-004
 6.3023980E+001, 5.9450384E-004, 5.3408030E-004, 5.9570576E-004, 5.5294313E-004
 6.6023350E+001, 5.9984216E-004, 5.5041206E-004, 5.9585075E-004, 5.4513333E-004
 6.9019572E+001, 6.3631444E-004, 5.8345044E-004, 6.4287149E-004, 5.7738218E-004
 7.2017811E+001, 6.5501939E-004, 6.1462940E-004, 6.3215358E-004, 5.9537486E-004
 7.5016205E+001, 6.3699178E-004, 6.1267103E-004, 6.3216229E-004, 6.0472098E-004
 7.8017091E+001, 6.5307668E-004, 6.1821150E-004, 6.4451230E-004, 6.1650840E-004
 8.1023734E+001, 6.7237880E-004, 6.3995690E-004, 6.7592088E-004, 6.4040509E-004
 8.4006773E+001, 6.6314370E-004, 6.6544934E-004, 6.6818305E-004, 6.7908307E-004
 8.7020736E+001, 6.7557618E-004, 6.7514775E-004, 6.7545428E-004, 6.8772292E-004
 9.0002797E+001, 7.1579421E-004, 6.7532062E-004, 7.1795932E-004, 6.9052653E-004
 9.3011052E+001, 8.2028936E-004, 7.2419276E-004, 8.2614449E-004, 7.7253865E-004
 9.6010705E+001, 8.6706458E-004, 8.2576501E-004, 8.6748899E-004, 8.3545626E-004
 9.9004006E+001, 8.3169353E-004, 8.2876093E-004, 8.3135874E-004, 8.3218487E-004
