s,m3/s,m3/s
Time,"E_01","E_02"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0016105E+000,-2.2244965E-003,-1.1122483E-003
 2.0148392E+000,-1.2127648E-002,-6.0638240E-003
 3.0184203E+000,-3.2411738E-002,-1.6205869E-002
 4.0262761E+000,-6.2951635E-002,-3.1475818E-002
 5.0061359E+000,-1.0301347E-001,-5.1506733E-002
 6.0139917E+000,-1.5299920E-001,-7.6499602E-002
 7.0134486E+000,-2.1354836E-001,-1.0677418E-001
 8.0297032E+000,-2.8445979E-001,-1.4222990E-001
 9.0151622E+000,-3.6487699E-001,-1.8243849E-001
 1.0000621E+001,-4.5386945E-001,-2.2693473E-001
 1.1016876E+001,-5.5421820E-001,-2.7710910E-001
 1.2002335E+001,-6.6453271E-001,-3.3226636E-001
 1.3018589E+001,-7.8498175E-001,-3.9249087E-001
 1.4000969E+001,-9.1526194E-001,-4.5763097E-001
 1.5004073E+001,-1.0543175E+000,-5.2715874E-001
 1.6019584E+001,-1.2059770E+000,-6.0298849E-001
 1.7011368E+001,-1.3673670E+000,-6.8368351E-001
 1.8007695E+001,-1.5364607E+000,-7.6823037E-001
 1.9005085E+001,-1.7159241E+000,-8.5796204E-001
 2.0025602E+001,-1.9075508E+000,-9.5385049E-001
 2.1012811E+001,-2.0000000E+000,-1.0543326E+000
 2.2000020E+001,-2.0000000E+000,-1.1581266E+000
 2.3016790E+001,-2.0000000E+000,-1.2684240E+000
 2.4011662E+001,-2.0000000E+000,-1.3840842E+000
 2.5006534E+001,-2.0000000E+000,-1.5035937E+000
 2.6001406E+001,-2.0000000E+000,-1.6280521E+000
 2.7023167E+001,-2.0000000E+000,-1.7592533E+000
 2.8018039E+001,-2.0000000E+000,-1.8955154E+000
 2.9012911E+001,-2.0000000E+000,-2.0349541E+000
 3.0007783E+001,-2.0000000E+000,-2.1793417E+000
 3.1018106E+001,-2.0000000E+000,-2.3297436E+000
 3.2009123E+001,-2.0000000E+000,-2.4848788E+000
 3.3020767E+001,-2.0000000E+000,-2.6450570E+000
 3.4000602E+001,-2.0000000E+000,-2.8094022E+000
 3.5017223E+001,-2.0000000E+000,-2.9790648E+000
 3.6015898E+001,-2.0000000E+000,-3.1554499E+000
 3.7000206E+001,-2.0000000E+000,-3.3339009E+000
 3.8007309E+001,-2.0000000E+000,-3.5181185E+000
 3.9003794E+001,-2.0000000E+000,-3.7084234E+000
 4.0006566E+001,-2.0000000E+000,-3.9033431E+000
 4.1002941E+001,-2.0000000E+000,-4.0000000E+000
 4.2013549E+001,-2.0000000E+000,-4.0000000E+000
 4.3009924E+001,-2.0000000E+000,-4.0000000E+000
 4.4006299E+001,-2.0000000E+000,-4.0000000E+000
 4.5002674E+001,-2.0000000E+000,-4.0000000E+000
 4.6013283E+001,-2.0000000E+000,-4.0000000E+000
 4.7009658E+001,-2.0000000E+000,-4.0000000E+000
 4.8006033E+001,-2.0000000E+000,-4.0000000E+000
 4.9002407E+001,-2.0000000E+000,-4.0000000E+000
 5.0013016E+001,-2.0000000E+000,-4.0000000E+000
 5.1009391E+001,-2.0000000E+000,-4.0000000E+000
 5.2005766E+001,-2.0000000E+000,-4.0000000E+000
 5.3002141E+001,-2.0000000E+000,-4.0000000E+000
 5.4012750E+001,-2.0000000E+000,-4.0000000E+000
 5.5009124E+001,-2.0000000E+000,-4.0000000E+000
 5.6005499E+001,-2.0000000E+000,-4.0000000E+000
 5.7001874E+001,-2.0000000E+000,-4.0000000E+000
 5.8012483E+001,-2.0000000E+000,-4.0000000E+000
 5.9008858E+001,-2.0000000E+000,-4.0000000E+000
 6.0005233E+001,-2.0000000E+000,-4.0000000E+000
 6.1001608E+001,-2.0000000E+000,-4.0000000E+000
 6.2012216E+001,-2.0000000E+000,-4.0000000E+000
 6.3008591E+001,-2.0000000E+000,-4.0000000E+000
 6.4004966E+001,-2.0000000E+000,-4.0000000E+000
 6.5001341E+001,-2.0000000E+000,-4.0000000E+000
 6.6011950E+001,-2.0000000E+000,-4.0000000E+000
 6.7008325E+001,-2.0000000E+000,-4.0000000E+000
 6.8004700E+001,-2.0000000E+000,-4.0000000E+000
 6.9001074E+001,-2.0000000E+000,-4.0000000E+000
 7.0011683E+001,-2.0000000E+000,-4.0000000E+000
 7.1008058E+001,-2.0000000E+000,-4.0000000E+000
 7.2004433E+001,-2.0000000E+000,-4.0000000E+000
 7.3000808E+001,-2.0000000E+000,-4.0000000E+000
 7.4011417E+001,-2.0000000E+000,-4.0000000E+000
 7.5007791E+001,-2.0000000E+000,-4.0000000E+000
 7.6004166E+001,-2.0000000E+000,-4.0000000E+000
 7.7000541E+001,-2.0000000E+000,-4.0000000E+000
 7.8011150E+001,-2.0000000E+000,-4.0000000E+000
 7.9007525E+001,-2.0000000E+000,-4.0000000E+000
 8.0003900E+001,-2.0000000E+000,-4.0000000E+000
 8.1000275E+001,-2.0000000E+000,-4.0000000E+000
 8.2010883E+001,-2.0000000E+000,-4.0000000E+000
 8.3007258E+001,-2.0000000E+000,-4.0000000E+000
 8.4003633E+001,-2.0000000E+000,-4.0000000E+000
 8.5000008E+001,-2.0000000E+000,-4.0000000E+000
 8.6010617E+001,-2.0000000E+000,-4.0000000E+000
 8.7006992E+001,-2.0000000E+000,-4.0000000E+000
 8.8003367E+001,-2.0000000E+000,-4.0000000E+000
 8.9013975E+001,-2.0000000E+000,-4.0000000E+000
 9.0010350E+001,-2.0000000E+000,-4.0000000E+000
 9.1006725E+001,-2.0000000E+000,-4.0000000E+000
 9.2003100E+001,-2.0000000E+000,-4.0000000E+000
 9.3013709E+001,-2.0000000E+000,-4.0000000E+000
 9.4010084E+001,-2.0000000E+000,-4.0000000E+000
 9.5006458E+001,-2.0000000E+000,-4.0000000E+000
 9.6002833E+001,-2.0000000E+000,-4.0000000E+000
 9.7013442E+001,-2.0000000E+000,-4.0000000E+000
 9.8009817E+001,-2.0000000E+000,-4.0000000E+000
 9.9006192E+001,-2.0000000E+000,-4.0000000E+000
 1.0000000E+002,-2.0000000E+000,-4.0000000E+000
