s,m3/s,m3/s,C,C,C
Time,"E_01","E_02","TMP_01","TMP_02","TMP_03"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0016105E+000,-2.2244965E-003,-1.1122483E-003, 2.0000900E+001, 1.9999987E+001, 2.0000040E+001
 2.0148392E+000,-1.2127648E-002,-6.0638240E-003, 2.0130957E+001, 2.0006259E+001, 2.0004541E+001
 3.0184203E+000,-3.2411738E-002,-1.6205869E-002, 1.6090870E+002, 2.0034671E+001, 2.0032868E+001
 4.0262761E+000,-6.2951635E-002,-3.1475818E-002, 2.0843028E+002, 2.0071975E+001, 2.0071255E+001
 5.0061359E+000,-1.0301347E-001,-5.1506733E-002, 1.9819982E+002, 2.0112288E+001, 2.0111665E+001
 6.0139917E+000,-1.5299920E-001,-7.6499602E-002, 2.2455102E+002, 2.0151246E+001, 2.0148469E+001
 7.0134486E+000,-2.1354836E-001,-1.0677418E-001, 2.0827812E+002, 2.0303196E+001, 2.0464592E+001
 8.0297032E+000,-2.8445979E-001,-1.4222990E-001, 2.1452098E+002, 2.0412966E+001, 2.6353612E+001
 9.0151622E+000,-3.6487699E-001,-1.8243849E-001, 1.9522133E+002, 2.0427335E+001, 4.6906524E+001
 1.0000621E+001,-4.5386945E-001,-2.2693473E-001, 2.1059721E+002, 2.0710291E+001, 5.1373106E+001
 1.1016876E+001,-5.5421820E-001,-2.7710910E-001, 1.8849634E+002, 2.2948643E+001, 5.0405001E+001
 1.2002335E+001,-6.6453271E-001,-3.3226636E-001, 1.8087128E+002, 2.5644740E+001, 5.2596252E+001
 1.3018589E+001,-7.8498175E-001,-3.9249087E-001, 2.1234455E+002, 2.4474037E+001, 5.5377589E+001
 1.4000969E+001,-9.1526194E-001,-4.5763097E-001, 1.5157758E+002, 2.3360345E+001, 5.5072076E+001
 1.5004073E+001,-1.0543175E+000,-5.2715874E-001, 1.6164253E+002, 2.2452101E+001, 5.3594087E+001
 1.6019584E+001,-1.2059770E+000,-6.0298849E-001, 1.0417390E+002, 2.2001232E+001, 5.4342624E+001
 1.7011368E+001,-1.3673670E+000,-6.8368351E-001, 1.0176708E+002, 2.2151188E+001, 5.1336431E+001
 1.8007695E+001,-1.5364607E+000,-7.6823037E-001, 8.0007412E+001, 2.2367147E+001, 5.2422583E+001
 1.9005085E+001,-1.7159241E+000,-8.5796204E-001, 5.3967404E+001, 2.1990114E+001, 5.2389377E+001
 2.0025602E+001,-1.9075508E+000,-9.5385049E-001, 5.2383707E+001, 2.2319503E+001, 4.4698391E+001
 2.1012811E+001,-2.0000000E+000,-1.0543326E+000, 4.5938537E+001, 2.3328541E+001, 4.4167675E+001
 2.2000020E+001,-2.0000000E+000,-1.1581266E+000, 1.3038616E+002, 2.2596476E+001, 4.8177169E+001
 2.3016790E+001,-2.0000000E+000,-1.2684240E+000, 8.2583854E+001, 2.1754373E+001, 4.7154585E+001
 2.4011662E+001,-2.0000000E+000,-1.3840842E+000, 5.5979965E+001, 2.1612727E+001, 4.9653682E+001
 2.5006534E+001,-2.0000000E+000,-1.5035937E+000, 1.0203144E+002, 2.1441806E+001, 4.6045253E+001
 2.6001406E+001,-2.0000000E+000,-1.6280521E+000, 4.4293806E+001, 2.0944727E+001, 4.0531747E+001
 2.7023167E+001,-2.0000000E+000,-1.7592533E+000, 4.2510650E+001, 2.1167165E+001, 4.3459713E+001
 2.8018039E+001,-2.0000000E+000,-1.8955154E+000, 4.2344748E+001, 2.2865396E+001, 4.7860865E+001
 2.9012911E+001,-2.0000000E+000,-2.0349541E+000, 3.3485322E+001, 2.6183361E+001, 4.6337509E+001
 3.0007783E+001,-2.0000000E+000,-2.1793417E+000, 5.0304963E+001, 2.6069493E+001, 4.3211530E+001
 3.1018106E+001,-2.0000000E+000,-2.3297436E+000, 3.8904328E+001, 2.3772011E+001, 4.5312674E+001
 3.2009123E+001,-2.0000000E+000,-2.4848788E+000, 6.2134693E+001, 2.3257555E+001, 4.6491203E+001
 3.3020767E+001,-2.0000000E+000,-2.6450570E+000, 4.2674661E+001, 2.2252137E+001, 4.5142061E+001
 3.4000602E+001,-2.0000000E+000,-2.8094022E+000, 9.1385986E+001, 2.1769746E+001, 4.4358094E+001
 3.5017223E+001,-2.0000000E+000,-2.9790648E+000, 3.3952109E+001, 2.2745882E+001, 3.8561604E+001
 3.6015898E+001,-2.0000000E+000,-3.1554499E+000, 6.3336445E+001, 2.4576503E+001, 3.2812374E+001
 3.7000206E+001,-2.0000000E+000,-3.3339009E+000, 3.3427815E+001, 2.7166941E+001, 3.3993730E+001
 3.8007309E+001,-2.0000000E+000,-3.5181185E+000, 8.9204462E+001, 2.7727074E+001, 3.9952818E+001
 3.9003794E+001,-2.0000000E+000,-3.7084234E+000, 3.6253475E+001, 2.8853439E+001, 4.7557833E+001
 4.0006566E+001,-2.0000000E+000,-3.9033431E+000, 6.2017762E+001, 3.0751840E+001, 4.6397152E+001
 4.1002941E+001,-2.0000000E+000,-4.0000000E+000, 5.2270611E+001, 3.3780572E+001, 3.8295599E+001
 4.2013549E+001,-2.0000000E+000,-4.0000000E+000, 8.2329011E+001, 3.3522801E+001, 2.8718532E+001
 4.3009924E+001,-2.0000000E+000,-4.0000000E+000, 4.7179787E+001, 3.1482166E+001, 2.5526421E+001
