s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.7941204E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7941204E-015, 0.0000000E+000, 0.0000000E+000
 1.0868192E+000, 1.1021247E+002,-2.7098417E+001, 2.4836759E+000, 2.2596363E+000,-6.1493576E-001, 0.0000000E+000, 0.0000000E+000, 4.5683105E+001, 8.7242429E+001, 9.4619167E-003, 9.4619167E-003
 2.0838194E+000, 3.6616722E+002,-2.5927883E+002, 7.0140579E+000, 1.8635140E+000,-3.8148117E+000, 0.0000000E+000, 0.0000000E+000, 1.1228090E+002, 1.1195115E+002, 2.1935736E-002, 2.1935736E-002
 3.0595751E+000, 6.2951223E+002,-2.7997232E+002, 1.4329238E+001, 1.4662672E+000,-6.3327311E+000, 0.0000000E+000, 0.0000000E+000, 2.9350531E+002, 3.5900268E+002, 3.1466550E-002, 3.1466550E-002
 4.0064993E+000, 7.7825527E+002,-2.0113385E+002,-1.8228352E+001,-6.5864740E-002,-8.3573794E+000, 0.0000000E+000, 0.0000000E+000, 5.4633283E+002, 5.5046982E+002, 4.2030206E-002, 4.2030206E-002
 5.0003338E+000, 9.6440844E+002,-2.4344272E+002,-6.7323353E+002,-1.4977765E+000,-1.0333542E+001, 0.0000000E+000, 0.0000000E+000, 3.5486849E+001, 3.5900869E+001, 5.3390797E-002, 5.3390797E-002
 6.0223198E+000, 1.1833263E+003,-3.0796065E+002,-7.6411693E+002,-3.3046614E+000,-1.2685921E+001, 0.0000000E+000, 0.0000000E+000, 9.0333709E+001, 9.5258171E+001, 6.5494205E-002, 6.5494205E-002
 7.0123692E+000, 1.3869949E+003,-3.5496668E+002,-8.5842140E+002,-3.4845275E+000,-1.4886575E+001, 0.0000000E+000, 0.0000000E+000, 1.5402507E+002, 1.5523572E+002, 7.7068838E-002, 7.7068838E-002
 8.0174532E+000, 1.6072198E+003,-4.0821971E+002,-9.6774582E+002,-5.7542789E+000,-1.7195748E+001, 0.0000000E+000, 0.0000000E+000, 2.1049960E+002, 2.0830421E+002, 8.9164288E-002, 8.9164288E-002
 9.0212936E+000, 1.8911107E+003,-4.8283316E+002,-1.1929532E+003,-8.3186453E+000,-1.9501433E+001, 0.0000000E+000, 0.0000000E+000, 1.8447215E+002, 1.8750427E+002, 1.0070183E-001, 1.0070183E-001
 1.0004638E+001, 2.0740368E+003,-5.0212665E+002,-1.3576881E+003,-1.1712517E+001,-2.1718177E+001, 0.0000000E+000, 0.0000000E+000, 1.7796885E+002, 1.8079133E+002, 1.1278370E-001, 1.1278370E-001
 1.1010740E+001, 2.2733602E+003,-5.4421489E+002,-1.5376157E+003,-1.4361718E+001,-2.3606310E+001, 0.0000000E+000, 0.0000000E+000, 1.5696500E+002, 1.5356161E+002, 1.2421798E-001, 1.2421798E-001
