Stations,Address
ALEXANDRIA Fire Station,"179 Wyndham Street, Alexandria NSW 2015"
BALMAIN Fire Station,"391 Darling Street, Balmain NSW 2041"
BONDI Fire Station,"359 Old South Head Road, Bondi NSW 2026"
CITY OF SYDNEY Fire Station,"211-217 Castlereagh Street, Sydney NSW 2000"
DARLINGHURST Fire Station,"100-102 Victoria Street, Darlinghurst NSW 2010"
GLEBE Fire Station,"75 St Johns Rd, Glebe NSW 2037"
LEICHHARDT Fire Station,"1 Marion Street, Leichhardt NSW 2040"
PYRMONT Fire Station,"147 Pyrmont Street, Pyrmont NSW 2009"
REDFERN Fire Station,"113 George Street, Redfern NSW 2016"
THE ROCKS Fire Station,"166 Kent Street, The Rocks NSW 2000"
WOOLLAHRA Fire Station,"2 Forth Street, Woollahra NSW 2025"
AVALON Fire Station,"689 Old Barrenjoey  Road, Avalon NSW 2107"
BEECROFT Fire Station,"109 Beecroft Road, Beecroft NSW 2119"
BEROWRA Fire Station,"9 Berowra Waters Road, Berowra NSW 2081"
CROWS NEST Fire Station,"99 Shirley Road, Crows Nest NSW 2065"
DEE WHY Fire Station,"38 Fisher Road, Dee Why NSW 2099"
FORESTVILLE Fire Station,"8 Cook Street, Forestville NSW 2087"
GORDON Fire Station,"966 Pacific Highway, Gordon (Pymble) NSW 2072"
HORNSBY Fire Station,"2 Bridge Road, Hornsby NSW 2077"
LANE COVE Fire Station,"55-57 Dickson Ave, Artarmon NSW 2064"
MANLY Fire Station,"128 Sydney Road, Fairlight NSW 2094"
MONA VALE Fire Station,"6 Harkeith Street, Mona Vale NSW 2103"
MOSMAN Fire Station,"730 Military Road, Mosman NSW 2088"
NARRABEEN Fire Station,"9 Ocean Street, Narrabeen NSW 2101"
NEUTRAL BAY Fire Station,"28 Yeo Street, Neutral Bay NSW 2089"
WILLOUGHBY Fire Station,"53 Laurel Street, Willoughby NSW 2068"
ASHFIELD Fire Station,"16 Victoria Street, Ashfield NSW 2131"
BANKSTOWN Fire Station,"353 Liverpool Road, Bankstown NSW 2200"
BURWOOD Fire Station,"12b Livingstone Street, Burwood NSW 2134"
CAMPSIE Fire Station,"294 - 296 Beamish Street, Campsie NSW 2194"
CHESTER HILL Fire Station,"163 Waldron Road, Chester Hill NSW 2162"
CONCORD Fire Station,"153 Concord Road, Concord (North Strathfield) NSW 2137"
DRUMMOYNE Fire Station,"29 - 35 Lyons Road, Drummoyne NSW 2047"
LAKEMBA Fire Station,"210 Haldon Street, Lakemba NSW 2195"
LIDCOMBE Fire Station,"37 Church Street, Lidcombe NSW 2141"
MARRICKVILLE Fire Station,"309 Marrickville Road, Marrickville NSW 2204"
NEWTOWN Fire Station,"214-216 Australia Street, Newtown NSW 2042"
REVESBY Fire Station,"60 The River Road, Revesby NSW 2212"
