,Stations,Address,lat,lng
0,ALEXANDRIA Fire Station,"179 Wyndham Street, Alexandria NSW 2015",-33.9045153,151.2008656
1,BALMAIN Fire Station,"391 Darling Street, Balmain NSW 2041",-33.8560028,151.1770307
2,BONDI Fire Station,"359 Old South Head Road, Bondi NSW 2026",-33.8823156,151.2699503
3,CITY OF SYDNEY Fire Station,"211-217 Castlereagh Street, Sydney NSW 2000",-33.8751128,151.208666
4,DARLINGHURST Fire Station,"100-102 Victoria Street, Darlinghurst NSW 2010",-33.8708543,151.2232788
5,GLEBE Fire Station,"75 St Johns Rd, Glebe NSW 2037",-33.8809353,151.1871033
6,LEICHHARDT Fire Station,"1 Marion Street, Leichhardt NSW 2040",-33.8833959,151.1588448
7,PYRMONT Fire Station,"147 Pyrmont Street, Pyrmont NSW 2009",-33.8714162,151.1959017
8,REDFERN Fire Station,"113 George Street, Redfern NSW 2016",-33.8933234,151.2022987
9,THE ROCKS Fire Station,"166 Kent Street, The Rocks NSW 2000",-33.8618147,151.2041098
10,WOOLLAHRA Fire Station,"2 Forth Street, Woollahra NSW 2025",-33.8865697,151.2405726
11,AVALON Fire Station,"689 Old Barrenjoey  Road, Avalon NSW 2107",-33.6385532,151.328054
12,BEECROFT Fire Station,"109 Beecroft Road, Beecroft NSW 2119",-33.7507432,151.0652856
13,BEROWRA Fire Station,"9 Berowra Waters Road, Berowra NSW 2081",-33.6237976,151.1503102
14,CROWS NEST Fire Station,"99 Shirley Road, Crows Nest NSW 2065",-33.8281918,151.2000904
15,DEE WHY Fire Station,"38 Fisher Road, Dee Why NSW 2099",-33.7518393,151.2849053
16,FORESTVILLE Fire Station,"8 Cook Street, Forestville NSW 2087",-33.760758,151.2187196
17,GORDON Fire Station,"966 Pacific Highway, Gordon (Pymble) NSW 2072",-33.7491933,151.1457131
18,HORNSBY Fire Station,"2 Bridge Road, Hornsby NSW 2077",-33.6974972,151.0983162
19,LANE COVE Fire Station,"55-57 Dickson Ave, Artarmon NSW 2064",-33.8162733,151.1828696
20,MANLY Fire Station,"128 Sydney Road, Fairlight NSW 2094",-33.7957614,151.2775119
21,MONA VALE Fire Station,"6 Harkeith Street, Mona Vale NSW 2103",-33.6762265,151.3066913
22,MOSMAN Fire Station,"730 Military Road, Mosman NSW 2088",-33.8251914,151.242827
23,NARRABEEN Fire Station,"9 Ocean Street, Narrabeen NSW 2101",-33.7207563,151.298536
24,NEUTRAL BAY Fire Station,"28 Yeo Street, Neutral Bay NSW 2089",-33.8318956,151.2209472
25,WILLOUGHBY Fire Station,"53 Laurel Street, Willoughby NSW 2068",-33.80046730000001,151.2000096
26,ASHFIELD Fire Station,"16 Victoria Street, Ashfield NSW 2131",-33.8913388,151.1302387
27,BANKSTOWN Fire Station,"353 Liverpool Road, Bankstown NSW 2200",-33.887362,151.1222859
28,BURWOOD Fire Station,"12b Livingstone Street, Burwood NSW 2134",-33.8802519,151.1019434
29,CAMPSIE Fire Station,"294 - 296 Beamish Street, Campsie NSW 2194",-33.9143369,151.1039243
30,CHESTER HILL Fire Station,"163 Waldron Road, Chester Hill NSW 2162",-33.88228540000001,150.9947152
31,CONCORD Fire Station,"153 Concord Road, Concord (North Strathfield) NSW 2137",-33.8584608,151.0925148
32,DRUMMOYNE Fire Station,"29 - 35 Lyons Road, Drummoyne NSW 2047",-33.8517773,151.1539288
33,LAKEMBA Fire Station,"210 Haldon Street, Lakemba NSW 2195",-33.9241472,151.0791665
34,LIDCOMBE Fire Station,"37 Church Street, Lidcombe NSW 2141",-33.8634087,151.0453388
35,MARRICKVILLE Fire Station,"309 Marrickville Road, Marrickville NSW 2204",-33.909121,151.1538378
36,NEWTOWN Fire Station,"214-216 Australia Street, Newtown NSW 2042",-33.8964553,151.1785354
37,REVESBY Fire Station,"60 The River Road, Revesby NSW 2212",-33.9428604,151.0179814
38,RHODES Fire Station,"438 Concord Road, Rhodes NSW 2138",-33.829969,151.0881014
39,SILVERWATER Fire Station,"122 Adderely Street, Silverwater NSW 2141",-33.8397701,151.0363168
40,BLACKTOWN Fire Station,"222 Richmond Road, Woodcroft NSW 2767",-33.7524507,150.887061
41,CASTLE HILL Fire Station,"380 Old Northern Road, Castle Hill NSW 2154",-33.7176272,151.0186181
42,CRANEBROOK Fire Station,"137 - 139 Vincent Road, Cranebrook NSW 2479",-33.7033383,150.7087959
43,ROPES CROSSING Fire Station,"1a Ellsworth Drive, Tregear NSW 2770",-33.7405104,150.7858342
44,HUNTINGWOOD Fire Station,"42 Huntingwood Drive, Huntingwood NSW 2148",-33.7972675,150.8797
45,KELLYVILLE Fire Station,"1-5 Poole Road, Kellyville NSW 2155",-33.7098399,150.949569
46,MOUNT DRUITT Fire Station,"81 Railway Street, Mount Druitt NSW 2770",-33.7650198,150.831242
47,BAULKHAM HILLS Fire Station,"130 Seven Hills Rd, Baulkham Hills NSW 2153",-33.7617743,150.9746925
48,PENRITH Fire Station,"290-294 High Street, Penrith NSW 2750",-33.7548736,150.7022838
49,REGENTVILLE Fire Station,"2-6 Jeanette Street, Regentville NSW 2745",-33.7738488,150.6698602
50,RIVERSTONE Fire Station,"66 Riverstone Parade, Riverstone NSW 2765",-33.67526050000001,150.8592292
51,SCHOFIELDS Fire Station,"58 Hambledon Rd, Schofields NSW 2762",-33.7132563,150.8936344
52,SEVEN HILLS Fire Station,"10 Leabons Lane, Seven Hills NSW 2147",-33.7833771,150.9244846
53,ST. MARYS Fire Station,"1 Marsden Road, ST Marys NSW 2760",-33.7737898,150.7863141
54,BONNYRIGG HEIGHTS Fire Station,"70 Gloucester Street, Bonnyrigg Heights NSW 2177",-33.8890803,150.8614606
55,CABRAMATTA Fire Station,"100 St Johns Rd, Cabramatta NSW 2166",-33.88865500000001,150.9230756
56,EASTWOOD Fire Station,"269 Rowe Street, Eastwood NSW 2122",-33.7921278,151.0773869
57,YENNORA Fire Station,"198 Fairfield Road, Yennora  NSW 2161",-33.8589324,150.9587362
58,GLADESVILLE Fire Station,"7a Pittwater Road, Gladesville NSW 2111",-33.8298619,151.1276605
59,GUILDFORD Fire Station,"263 Guildford Road, Guildford NSW 2161",-33.8542862,150.9884009
60,MERRYLANDS Fire Station,"340 Merrylands Road, Merrylands NSW 2160",-33.835079,150.9815352
61,PARRAMATTA Fire Station,"110-114 Wigram Street, Harris Park (Parramatta) NSW 2150",-33.819826,151.0089241
62,RYDALMERE Fire Station,"75 Park Road, Rydalmere NSW 2116",-33.8102092,151.0424504
63,RYDE Fire Station,"216 - 218 Blaxland Road, Ryde NSW 2112",-33.8091591,151.1055573
64,SMITHFIELD Fire Station,"875 The Horsley Drive, Smithfield - Fire Station NSW 2164",-33.850687,150.9224776
65,WENTWORTHVILLE Fire Station,"6 Garfield Street, Wentworthville NSW 2145",-33.808375,150.9700404
66,BLACKHEATH Fire Station,"223-225 Great Western Highway, Blackheath NSW 2785",-33.6366962,150.2853335
67,GLENBROOK Fire Station,"21 Wascoe Street, Glenbrook NSW 2773",-33.7640576,150.6163885
68,KATOOMBA Fire Station,"14 Cascade Street, Katoomba NSW 2780",-33.7119846,150.3096612
69,LAWSON Fire Station,"306-307 Great Western Highway, Lawson NSW 2783",-33.7214953,150.426909
