,locations,Adult population
6,Albury,54353
13,Armidale Regional,30779
20,Ballina,44628
27,Balranald,2338
34,Bathurst Regional,43618
41,Bayside,178396
48,Bega Valley,34476
55,Bellingen,12996
62,Berrigan,8750
69,Blacktown,374451
76,Bland,5972
83,Blayney,7379
90,Blue Mountains,79118
97,Bogan,2580
104,Bourke,2590
111,Brewarrina,1611
118,Broken Hill,17479
125,Burwood,40612
132,Byron,35081
139,Cabonne,13634
146,Camden,101437
153,Campbelltown,170943
160,Canada Bay,96074
167,Canterbury-Bankstown,377917
174,Carrathool,2799
181,Central Coast,343968
188,Central Darling,1839
195,Cessnock,59985
202,Clarence Valley,51662
209,Cobar,4658
216,Coffs Harbour,77277
223,Coolamon,4341
230,Coonamble,3958
237,Cootamundra-Gundagai Regional,11235
244,Cowra,12743
251,Cumberland,241521
258,Dubbo Regional,53719
265,Dungog,9423
272,Edward River,9084
279,Eurobodalla,38473
286,Fairfield,211695
293,Federation,12437
300,Forbes,9906
307,Georges River,159471
314,Gilgandra,4239
321,Glen Innes Severn shire,8871
328,Goulburn Mulwaree,31132
335,Greater Hume ,10764
342,Griffith,27029
349,Gunnedah,12681
356,Gwydir,5353
363,Hawkesbury,67296
370,Hay,2949
377,Hilltops,18704
384,Hornsby,152059
391,Hunters Hill,14980
398,Inner West,200811
405,Inverell,16890
412,Junee,6683
419,Kempsey,29745
426,Kiama,23386
433,Ku-ring-gai,127153
440,Kyogle,8796
447,Lachlan,6075
454,Lake Macquarie,205901
461,Lane Cove,40155
468,Leeton,11445
475,Lismore,43692
482,Lithgow,21605
489,Liverpool,227585
496,Liverpool Plains,7903
503,Lockhart,3285
510,Maitland,85166
517,Mid-Coast,93836
524,Mid-Western Regional,25251
531,Moree Plains,13261
538,Mosman,30981
545,Murray River,12118
552,Murrumbidgee,3917
559,Muswellbrook,16377
566,Nambucca,19805
573,Narrabri,13135
580,Narrandera,5899
587,Narromine,6517
594,Newcastle,165571
601,North Sydney,75021
608,Northern Beaches,273499
615,Oberon,5411
622,Orange,42451
629,Parkes,14837
636,Parramatta,257197
643,Penrith,212977
650,Port Macquarie-Hastings,84525
657,Port Stephens,73481
664,Queanbeyan-Palerang Regional,61100
671,Randwick,155649
678,Richmond Valley,23465
685,Ryde,131271
692,Shellharbour,73233
699,Shoalhaven,105648
706,Singleton,23461
713,Snowy Monaro Regional,20795
720,Snowy Valleys,14479
727,Strathfield,46926
734,Sutherland Shire,230611
741,Sydney,246343
748,Tamworth Regional,62541
755,Temora,6307
762,Tenterfield,6594
769,The Hills Shire,177969
776,Tweed,97001
783,Upper Hunter ,14180
790,Upper Lachlan Shire,8059
797,Uralla,6012
804,Wagga Wagga,65258
811,Walcha,3134
818,Walgett,5953
825,Warren,2697
832,Warrumbungle ,9278
839,Waverley,74295
846,Weddin,3613
853,Wentworth,7053
860,Willoughby,81189
867,Wingecarribee,51134
874,Wollondilly,53149
881,Wollongong,218114
888,Woollahra,59387
895,Yass Valley,17087
902,Unincorporated,1026
